Info 161  [16:40:5.679] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 0ms
Info 162  [16:40:8.113] Before ensureProjectForOpenFiles:
Info 163  [16:40:8.113] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 164  [16:40:8.117] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: true Elapsed: 4ms
Info 165  [16:40:8.117] Project '/dev/null/inferredProject2*' (Inferred)
Info 166  [16:40:8.117] 	Files (0)

Info 167  [16:40:8.117] -----------------------------------------------
Info 168  [16:40:8.117] After ensureProjectForOpenFiles:
Info 169  [16:40:8.118] got projects updated in background, updating diagnostics for /Users/william.rudenmalmhogman/code/w/food/worker/worker.js
Info 170  [16:40:8.478] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 171  [16:40:8.478] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 4 structureChanged: false Elapsed: 0ms
Info 172  [16:40:10.731] Before ensureProjectForOpenFiles:
Info 173  [16:40:10.731] After ensureProjectForOpenFiles:
Info 174  [16:40:10.731] got projects updated in background, updating diagnostics for /Users/william.rudenmalmhogman/code/w/food/worker/worker.js
Info 175  [16:51:12.389] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 176  [16:51:12.391] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 5 structureChanged: false Elapsed: 0ms
Info 177  [16:51:12.435] FileWatcher:: Triggered with /users/william.rudenmalmhogman/code/w/food/pkg/package.json 1:: WatchInfo: /users/william.rudenmalmhogman/code/w/food/pkg/package.json 250 undefined Project:  WatchType: package.json file for import suggestions
Info 178  [16:51:12.439] Elapsed:: 3ms FileWatcher:: Triggered with /users/william.rudenmalmhogman/code/w/food/pkg/package.json 1:: WatchInfo: /users/william.rudenmalmhogman/code/w/food/pkg/package.json 250 undefined Project:  WatchType: package.json file for import suggestions
Info 179  [16:51:12.439] FileWatcher:: Triggered with /Users/william.rudenmalmhogman/code/w/food/pkg/food.d.ts 1:: WatchInfo: /Users/william.rudenmalmhogman/code/w/food/pkg/food.d.ts 500 undefined Project:  WatchType: Closed Script info
Info 180  [16:51:12.443] Elapsed:: 4ms FileWatcher:: Triggered with /Users/william.rudenmalmhogman/code/w/food/pkg/food.d.ts 1:: WatchInfo: /Users/william.rudenmalmhogman/code/w/food/pkg/food.d.ts 500 undefined Project:  WatchType: Closed Script info
Info 181  [16:51:14.637] Before ensureProjectForOpenFiles:
Info 182  [16:51:14.637] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 183  [16:51:14.653] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: true Elapsed: 16ms
Info 184  [16:51:14.653] Project '/dev/null/inferredProject1*' (Inferred)
Info 185  [16:51:14.653] 	Files (0)

Info 186  [16:51:14.653] -----------------------------------------------
Info 187  [16:51:14.653] After ensureProjectForOpenFiles:
Info 188  [16:51:14.653] got projects updated in background, updating diagnostics for 
Info 189  [16:51:15.12] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 190  [16:51:15.12] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false Elapsed: 0ms
Info 191  [16:51:17.265] Before ensureProjectForOpenFiles:
Info 192  [16:51:17.265] After ensureProjectForOpenFiles:
Info 193  [16:51:17.265] got projects updated in background, updating diagnostics for 
Info 194  [16:53:3.106] Search path: /Users/william.rudenmalmhogman/code/w/food/worker
Info 195  [16:53:3.114] For info: /Users/william.rudenmalmhogman/code/w/food/worker/worker.js :: No config files found.
Info 196  [16:53:3.123] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 197  [16:53:3.538] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: true Elapsed: 415ms
Info 198  [16:53:3.538] Project '/dev/null/inferredProject1*' (Inferred)
Info 199  [16:53:3.538] 	Files (6)

Info 200  [16:53:3.538] -----------------------------------------------
Info 201  [16:53:3.539] `remove Project::
Info 202  [16:53:3.539] Project '/dev/null/inferredProject2*' (Inferred)
Info 203  [16:53:3.539] 	Files (0)

Info 204  [16:53:3.539] -----------------------------------------------
Info 205  [16:53:3.553] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 206  [16:53:3.557] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false Elapsed: 4ms
Info 207  [16:53:3.557] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 208  [16:53:3.778] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 209  [16:53:3.779] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false Elapsed: 1ms
Info 210  [16:53:6.146] Before ensureProjectForOpenFiles:
Info 211  [16:53:6.146] After ensureProjectForOpenFiles:
Info 212  [16:53:6.146] got projects updated in background, updating diagnostics for /Users/william.rudenmalmhogman/code/w/food/worker/worker.js
